txtid	date	year	settlement	county	from	to	soc.stat	hit
								
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
